,Unnamed: 0,item,condition,sentence,target,alternative,lstm 0 correct (max),lstm 0 correct (sample),lstm 0 target score,lstm 0 alternative score,lstm 1 correct (max),lstm 1 correct (sample),lstm 1 target score,lstm 1 alternative score,lstm 2 correct (max),lstm 2 correct (sample),lstm 2 target score,lstm 2 alternative score,lstm 3 correct (max),lstm 3 correct (sample),lstm 3 target score,lstm 3 alternative score,lstm 4 correct (max),lstm 4 correct (sample),lstm 4 target score,lstm 4 alternative score,rnng 0 target score,rnng 0 alternative score,rnng 0 correct (max),rnng 0 correct (sample),rnng 1 target score,rnng 1 alternative score,rnng 1 correct (max),rnng 1 correct (sample),rnng 2 target score,rnng 2 alternative score,rnng 2 correct (max),rnng 2 correct (sample),rnng 3 target score,rnng 3 alternative score,rnng 3 correct (max),rnng 3 correct (sample),rnng 4 target score,rnng 4 alternative score,rnng 4 correct (max),rnng 4 correct (sample)
10,10,Bock1992_1_sp_prop,sp_prop,The pamphlet from the British government agencies,is,are,100,80.4459927633536,-4.770756721496582,-6.185162544250487,100,65.48052754283877,-4.449682235717773,-5.089911460876465,100,86.18114712911678,-3.682929992675781,-5.513347625732422,100,62.801515976151755,-5.062203407287598,-5.585914611816406,0,47.61333779680107,-5.160094261169434,-5.064555168151856,-53.6119,-57.2945,100,97.54598871252534,-52.794,-54.4217,100,83.58543181727349,-50.8597,-51.0089,100,53.723096019362174,-54.6664,-56.1983,100,82.2284136828818,-50.3047,-48.3423,0,12.320754714912932
11,11,Bock1992_1_sp_rc,sp_rc,The pamphlet that described the government agencies,is,are,100,68.69312553342836,-5.039884567260742,-5.825695991516112,100,67.7295408801215,-4.54990291595459,-5.29127311706543,100,77.30472515960511,-3.878657341003418,-5.104255676269531,0,41.86170640608504,-5.850910186767577,-5.5224571228027335,0,32.451629980470564,-6.6436967849731445,-5.9106035232543945,-70.8558,-75.7049,100,99.22254903367127,-66.473,-69.799,100,96.53100725890775,-68.7144,-70.6478,100,87.36252711024468,-77.089,-75.6902,0,19.800660237150243,-65.4813,-68.2811,100,94.26650155212755
12,12,Bock1992_1_ps_prop,ps_prop,The pamphlets from the British government agency,are,is,100,90.90882319520179,-3.6087923049926762,-5.9113450050354,100,79.73976996818952,-3.9152441024780273,-5.28535270690918,100,67.36560285389861,-4.888477325439453,-5.613245010375977,100,82.06003303633625,-4.2515869140625,-5.7720069885253915,100,90.33594997470422,-4.106861114501953,-6.3419837951660165,-52.6607,-55.9135,100,96.27735964692856,-52.351,-54.1907,100,86.29132230903758,-48.9369,-52.9855,100,98.2852387626939,-51.7665,-55.8596,100,98.35864771042039,-48.6235,-48.1568,0,38.539760615924486
13,13,Bock1992_1_ps_rc,ps_rc,The pamphlets that described the government agency,are,is,100,96.67712466230721,-3.0522193908691406,-6.4227657318115225,100,87.33696346767096,-3.195855140686035,-5.126941680908203,100,86.56985729359137,-3.6528921127319336,-5.5163421630859375,100,82.37101102374173,-4.1891727447509775,-5.7308616638183585,100,73.82330879408812,-4.463776588439941,-5.500581741333008,-69.5934,-73.1535,100,97.2350266326761,-70.0767,-69.5896,0,38.05769711035317,-67.6418,-67.5557,0,47.8488287595154,-73.2337,-73.85,100,64.9376574323468,-67.6611,-65.3568,0,9.076746245191949
14,14,Bock1992_1_pp_prop,pp_prop,The pamphlets from the British government agencies,are,is,100,98.7897379545268,-3.607280731201172,-8.009437561035156,100,97.1761562848697,-3.352014541625977,-6.890440940856934,100,93.24975042788941,-4.005383491516113,-6.631085395812987,100,97.86927402603041,-3.827038764953613,-7.654208660125732,100,98.9079563141405,-3.4553928375244136,-7.961531639099121,-54.9527,-61.5667,100,99.86603415112381,-53.8772,-59.0312,100,99.42569200439874,-50.5013,-56.5063,100,99.7539678761488,-55.2635,-61.0065,100,99.68051016689175,-48.7013,-51.5241,100,94.3895529780243
15,15,Bock1992_1_pp_rc,pp_rc,The pamphlets that described the government agencies,are,is,100,99.0727370673769,-3.026055335998535,-7.697427749633789,100,97.31797496539068,-3.0144262313842773,-6.605837821960449,100,97.55183986300268,-3.223429679870605,-6.908476829528809,100,96.5339511993051,-3.7715444564819336,-7.098423957824707,100,93.05211098060964,-4.04425048828125,-6.638972282409668,-73.7079,-71.4429,0,9.406342579180798,-69.4351,-69.8827,100,61.00684611597346,-67.3287,-69.5302,100,90.03841305264623,-77.2733,-78.4064,100,75.64105392877376,-67.6941,-68.0058,100,57.73001575193717
16,16,Bock1992_2_ss_prop,ss_prop,The performer in the carnival show,is,are,100,92.76257260754385,-3.3677091598510738,-5.918486595153809,100,94.25488497123598,-4.1649866104125985,-6.962639331817628,100,93.33699260315001,-2.610722541809082,-5.250368118286133,100,96.0917625482895,-2.0130290985107417,-5.215246200561523,100,92.82705258997372,-3.388981819152832,-5.949403285980225,-46.0203,-52.2072,100,99.79480281703518,-48.3207,-50.4736,100,89.59394601337569,-47.5151,-50.0788,100,92.84885186430913,-47.2875,-51.125,100,97.89070947488915,-45.8094,-48.879,100,95.56212117775704
17,17,Bock1992_2_ss_rc,ss_rc,The performer who enlivened the show,is,are,100,99.37035734008616,-2.0413198471069336,-7.102776527404785,100,99.01221314657052,-3.65274715423584,-8.260278701782228,100,98.45505606867977,-2.5168437957763667,-6.671456336975098,100,98.02563386727738,-2.745960235595703,-6.650941848754883,100,94.62651300084913,-1.6720218658447266,-4.540482521057129,-67.7668,-74.3826,100,99.86627475058401,-55.9518,-64.0827,100,99.97057833802086,-63.8598,-67.4883,100,97.41309886379044,-61.7074,-64.1451,100,91.96573099665869,-58.6833,-62.9483,100,98.61428516740737
18,18,Bock1992_2_sp_prop,sp_prop,The performer in the carnival shows,is,are,100,72.29074297618905,-6.35899543762207,-7.317924976348878,100,79.4954184765296,-5.369440078735352,-6.7244911193847665,100,61.28915570027418,-5.628907203674316,-6.088390350341798,100,66.92096796059326,-4.95726203918457,-5.661874771118164,100,74.80416471612256,-5.8503193855285645,-6.938514232635497,-57.8363,-50.3224,0,0.05451523282501697,-55.1793,-53.4365,0,14.895763161344528,-60.5879,-49.0704,0,0.000995426003391178,-56.8075,-53.1229,0,2.449228258199014,-63.0962,-50.2302,0,0.0002584437734638107
19,19,Bock1992_2_sp_rc,sp_rc,The performer who enlivened the shows,is,are,100,92.45383915688677,-2.443370819091797,-4.949041366577148,100,82.36804725472336,-4.141036033630371,-5.682520866394043,100,84.95450337444319,-2.946300506591797,-4.677337646484375,100,81.59790205729644,-3.182941436767578,-4.672280311584473,100,75.29642686140801,-2.484088897705078,-3.5985736846923833,-71.8282,-69.5005,0,8.885469419178513,-63.4596,-66.2175,100,94.03579646694816,-68.1937,-64.9503,0,3.756477460269965,-69.488,-65.9108,0,2.7193690966284234,-63.2404,-68.9825,100,99.68022341651147
20,20,Bock1992_2_ps_prop,ps_prop,The performers in the carnival show,are,is,100,90.95304944527143,-3.7307834625244136,-6.038699150085449,100,69.96260196861779,-6.24668550491333,-7.092203140258789,100,88.18014040992016,-2.485846519470215,-4.495447158813477,100,81.78817915562989,-2.8867397308349614,-4.388801574707031,100,89.88975105757251,-4.624473571777344,-6.809507846832275,-48.6751,-51.2372,100,92.8382209639247,-52.7488,-55.065,100,91.02098584812775,-49.4236,-52.8564,100,96.87140392312023,-51.0911,-55.8906,100,99.18333798794146,-50.8189,-52.6752,100,86.4865099737959
21,21,Bock1992_2_ps_rc,ps_rc,The performers who enlivened the show,are,is,100,96.05865733761185,-2.2524290084838867,-5.445866584777832,100,86.27943565438595,-4.313150405883788,-6.151845932006836,100,93.72889220201529,-2.6636962890625,-5.368149757385254,100,89.10198604314209,-3.924698829650879,-6.025899887084961,100,84.72270067843652,-2.6855249404907227,-4.398540496826172,-75.5032,-65.3868,0,0.004040971181087249,-71.33,-74.2506,100,94.8855424210716,-64.789,-64.0147,0,31.55496648043693,-62.871,-62.6611,0,44.771681694325096,-71.1781,-66.4944,0,0.9160062530247943
22,22,Bock1992_2_pp_prop,pp_prop,The performers in the carnival shows,are,is,100,87.83284634805702,-6.373306751251222,-8.350002288818361,100,91.67401114135492,-5.6579952239990225,-8.056852340698242,100,90.12590717471541,-5.008122444152832,-7.2194156646728525,100,92.48540583120906,-4.196065902709962,-6.70626974105835,100,94.228752724891,-5.695319175720215,-8.488156318664549,-48.2677,-59.5542,100,99.99874590659654,-55.315,-64.9222,100,99.99327616803822,-49.7417,-62.4874,100,99.99970851812411,-55.1286,-64.565,100,99.99202393086038,-51.4539,-63.869,100,99.9995943151256
23,23,Bock1992_2_pp_rc,pp_rc,The performers who enlivened the shows,are,is,100,93.44212897868822,-2.257120132446289,-4.913796424865723,100,95.39317434786078,-3.947799682617188,-6.9782676696777335,100,97.62409722473578,-2.658379554748535,-6.374126434326173,100,95.90383032163484,-3.5869932174682617,-6.740286827087402,100,90.48063076075245,-2.7175397872924805,-4.96934700012207,-72.7627,-72.7825,100,50.49498382898393,-74.6919,-79.1105,100,98.80924074840426,-63.8854,-67.2326,100,96.60130264913978,-68.472,-69.0064,100,63.05087561212092,-70.6787,-71.3347,100,65.83612723612103
24,24,Bock1992_3_ss_prop,ss_prop,The bright light in Doctor Smith 's examination room,is,are,100,98.51507761958156,-2.217789649963379,-6.412636756896973,100,89.10721712812571,-3.4602022171020512,-5.561942100524902,100,92.19098207225751,-3.336380958557129,-5.804964065551758,100,95.57831573682371,-3.068822860717773,-6.1422481536865225,100,98.8558886754032,-1.3117961883544922,-5.770831108093263,-83.3062,-88.2357,100,99.28217819232047,-80.4123,-84.8587,100,98.84150974210999,-84.0244,-87.6198,100,97.3283654596479,-85.4147,-89.8511,100,98.8300029444513,-77.8725,-83.0379,100,99.43216497273619
25,25,Bock1992_3_ss_rc,ss_rc,The bright light that lit the small examination room,is,are,100,98.25914136410782,-3.4192943572998047,-7.452524185180664,100,96.35242367551695,-3.4158296585083012,-6.689779281616211,100,94.21396453723551,-3.141674041748047,-5.931795120239258,100,95.10070519789448,-4.177085876464844,-7.14293098449707,100,98.8312345437011,-2.225482940673828,-6.6629486083984375,-90.8452,-93.1017,100,90.52097389370451,-91.1308,-94.5754,100,96.90696924119543,-90.6667,-93.3987,100,93.8888691391379,-88.9276,-90.113,100,76.5917348633251,-87.7053,-92.141,100,98.82919325203675
26,26,Bock1992_3_sp_prop,sp_prop,The bright light in Doctor Smith 's examination rooms,is,are,100,91.23019641323302,-2.595787048339844,-4.937858581542969,100,54.50688692206032,-4.419146537780762,-4.599912643432617,0,27.448315451288142,-4.677224159240723,-3.7052297592163086,100,59.67836198750978,-4.065132141113281,-4.457213401794434,100,64.29048760153802,-2.237140655517578,-2.8251352310180664,-83.2426,-86.9751,100,97.66264684020285,-81.2718,-85.1865,100,98.04435516102421,-86.5473,-87.677,100,75.57835309083029,-84.9175,-87.588,100,93.52633109074483,-76.9396,-80.0701,100,95.81334544061811
27,27,Bock1992_3_sp_rc,sp_rc,The bright light that lit the small examination rooms,is,are,100,89.9334918538921,-4.03812313079834,-6.22797966003418,100,79.443620428101,-4.1176815032958975,-5.469557762145996,100,73.82161326498776,-3.830826759338379,-4.867544174194336,100,67.2443250500054,-4.80349063873291,-5.522747039794922,100,83.46182707771445,-2.8637266159057617,-4.482444763183594,-90.3708,-91.6187,100,77.69361294438845,-91.537,-91.8969,100,58.901622666303055,-95.5672,-96.451,100,70.76090551163315,-90.2345,-89.6001,0,34.65135217260878,-87.84,-89.0343,100,76.7509233545041
28,28,Bock1992_3_ps_prop,ps_prop,The bright lights in Doctor Smith 's examination room,are,is,100,98.15061862257922,-1.7179651260375977,-5.689617156982423,100,77.33377507693254,-3.727484703063965,-4.954739570617676,100,79.63500102564316,-2.7299861907958984,-4.0936222076416025,100,58.16256951335165,-3.2159786224365234,-3.545429229736328,100,76.71834807067556,-2.388753890991211,-3.5812292098999023,-93.7235,-88.799,0,0.7213939480119582,-90.2467,-85.6157,0,0.9650960519757565,-88.1246,-84.3949,0,2.343753315662822,-93.5864,-88.9366,0,0.9472920034613835,-85.6714,-80.5091,0,0.569588005167347
29,29,Bock1992_3_ps_rc,ps_rc,The bright lights that lit the small examination room,are,is,100,98.66492620481655,-2.928656578063965,-7.2313995361328125,100,75.493069033292,-4.381692886352538,-5.506777763366699,100,87.168898504182,-2.7325830459594727,-4.648558616638184,100,84.51355875973748,-3.658204078674317,-5.355151176452637,100,77.33390880962031,-3.256464958190918,-4.48372745513916,-95.9555,-95.287,0,33.88327972154449,-100.454,-97.1059,0,3.3957437225232465,-99.0959,-96.7694,0,8.895189358082224,-95.3078,-94.2684,0,26.126578091046653,-92.8499,-89.923,0,5.083970740975609
30,30,Bock1992_3_pp_prop,pp_prop,The bright lights in Doctor Smith 's examination rooms,are,is,100,97.67562132206524,-2.294978141784668,-6.033177375793457,100,95.75664596139835,-3.3539638519287114,-6.470419883728027,100,92.9413005126614,-2.5578289031982417,-5.135536193847656,100,85.38230291316917,-3.040879249572754,-4.805785179138184,100,98.81293577074099,-1.8068590164184568,-6.228604316711426,-92.4966,-88.8298,0,2.492118642575188,-90.6421,-86.7327,0,1.9658329743640008,-88.2546,-86.9477,0,21.300604864305782,-91.4347,-88.6382,0,5.751360259831329,-82.3539,-79.2867,0,4.448068194068556
31,31,Bock1992_3_pp_rc,pp_rc,The bright lights that lit the small examination rooms,are,is,100,97.74246918689906,-3.660083770751953,-7.42814826965332,100,95.987210770804,-3.97331428527832,-7.148042678833008,100,90.70780904440736,-3.106842041015625,-5.3853111267089835,100,91.99769404657506,-3.829853057861328,-6.2718868255615225,100,97.34109653981079,-2.820423126220703,-6.4207305908203125,-95.6498,-94.2316,0,19.494392190370416,-101.172,-96.5281,0,0.9528441342858218,-101.729,-100.381,0,20.61975396750528,-94.6632,-95.4595,100,68.91824594375883,-90.3016,-89.8166,0,38.10721451998099
32,32,Bock1992_4_ss_prop,ss_prop,The security force at the giant manufacturing plant,is,are,100,97.73598503576565,-2.2506732940673833,-6.015803337097168,100,97.0508583964414,-2.506023406982422,-5.999744415283202,100,95.12078586568957,-2.8671798706054688,-5.837343215942383,100,96.4305958748695,-2.793820381164551,-6.090245246887207,100,89.7900493939304,-2.43414306640625,-4.608254432678223,-59.1993,-64.2969,100,99.39257259660768,-60.2658,-64.6143,100,98.72387667645445,-57.9859,-62.1416,100,98.45670930422531,-57.4128,-61.9586,100,98.94997453662052,-58.8367,-63.6076,100,99.15984331348385
33,33,Bock1992_4_ss_rc,ss_rc,The security force that patrolled the manufacturing plant,is,are,100,98.50647467521523,-2.7071733474731445,-6.896156311035156,100,96.10127110967478,-3.3378801345825195,-6.542632102966309,100,93.36000328788404,-3.5951137542724614,-6.238465309143066,100,96.585679706052,-3.533799171447754,-6.876251220703125,100,96.45681881971396,-2.34700870513916,-5.651079177856445,-70.4897,-71.9175,100,80.65582988247209,-68.2079,-72.5914,100,98.7672273217093,-66.3092,-70.1073,100,97.8078027387928,-70.5385,-73.4224,100,94.70447936672782,-67.6687,-70.5824,100,94.85195364883872
34,34,Bock1992_4_sp_prop,sp_prop,The security force at the giant manufacturing plants,is,are,100,87.91673351229716,-2.994224548339844,-4.978793144226074,100,75.90367246555918,-3.2062044143676762,-4.353610038757323,100,71.18299501212891,-3.4579010009765625,-4.362189292907715,100,80.62522219748065,-3.4790353775024414,-4.904874801635742,100,63.223049495997046,-3.1092777252197266,-3.65107536315918,-62.4253,-66.5494,100,98.40795141079501,-63.1401,-66.5599,100,96.83176364773293,-59.6578,-60.9203,100,77.9456168638246,-60.9819,-64.7644,100,97.77410350919831,-60.8227,-62.5489,100,84.89257129556688
35,35,Bock1992_4_sp_rc,sp_rc,The security force that patrolled the manufacturing plants,is,are,100,88.95930245323645,-3.603837966918945,-5.690428733825684,100,78.59423712710124,-4.031256675720215,-5.331894874572754,100,74.7081863193516,-4.07558536529541,-5.158694267272949,100,87.28801775362456,-3.9878063201904297,-5.914474487304688,100,86.15835949934684,-2.8551359176635738,-4.68364143371582,-71.0133,-73.0923,100,88.88452723453676,-68.357,-72.0282,100,97.51855108996293,-69.9097,-67.6864,0,9.767756691899002,-73.6489,-73.4271,0,44.47762102233469,-73.2792,-75.391,100,89.20447971799157
36,36,Bock1992_4_ps_prop,ps_prop,The security forces at the giant manufacturing plant,are,is,100,95.6373604468466,-2.3295297622680664,-5.41701602935791,100,76.28316702342288,-3.77461051940918,-4.942877769470215,100,80.66719800317914,-3.13028335571289,-4.558812141418457,100,76.76803292690099,-3.5840272903442383,-4.77928638458252,100,79.84404425412626,-2.7388315200805664,-4.1154069900512695,-60.8254,-64.2051,100,96.70640511890086,-63.2975,-65.236,100,87.41872602199598,-61.5224,-64.4771,100,95.04851540537065,-58.692,-63.7598,100,99.37431381286311,-66.0003,-63.712,0,9.20965965794786
37,37,Bock1992_4_ps_rc,ps_rc,The security forces that patrolled the manufacturing plant,are,is,100,96.61605172033168,-3.1574745178222656,-6.509176254272461,100,82.7326416185443,-4.19888973236084,-5.76568603515625,100,90.55256426700998,-3.2919597625732417,-5.552146911621094,100,84.9425901583826,-4.384234428405762,-6.114339828491211,100,74.34655101705401,-3.0654506683349614,-4.129509925842285,-71.8232,-69.5305,0,9.172935111563204,-73.8124,-72.7643,0,25.95901198451906,-69.2542,-70.9799,100,84.88615763441236,-68.8118,-75.061,100,99.8071726305622,-72.0601,-71.3659,0,33.30994145250831
38,38,Bock1992_4_pp_prop,pp_prop,The security forces at the giant manufacturing plants,are,is,100,97.45679411029602,-2.6000871658325195,-6.246070861816406,100,96.05814459876065,-3.136918067932129,-6.3302202224731445,100,91.27744841227891,-3.1593093872070312,-5.507301330566406,100,91.3826465160662,-3.631451606750488,-5.992729187011719,100,89.70802223468112,-2.7036418914794917,-4.868837356567383,-63.5225,-68.7569,100,99.46982369735889,-65.489,-69.2256,100,97.6719877293907,-61.7984,-65.4729,100,97.5265241610336,-61.9572,-66.6481,100,99.09050553802984,-64.9756,-66.0753,100,75.02038904111464
39,39,Bock1992_4_pp_rc,pp_rc,The security forces that patrolled the manufacturing plants,are,is,100,97.78242211276373,-3.4489784240722656,-7.235307693481445,100,95.402251944444,-4.1216773986816415,-7.154212951660156,100,95.37778147786078,-3.4058208465576167,-6.432791709899902,100,93.75205912996607,-4.58931827545166,-7.297719955444336,100,78.29027956661409,-3.0486164093017583,-4.331279754638672,-71.3103,-77.3618,100,99.76512019758832,-70.509,-72.98,100,92.20836406025495,-68.9443,-74.1321,100,99.4446732270763,-71.6579,-73.9351,100,90.69710671990563,-73.4386,-77.3819,100,98.09844585291046
40,40,Bock1992_5_ss_prop,ss_prop,The confession of the famous television preacher,is,are,100,99.33646415089058,-3.7356481552124015,-8.744333267211914,100,97.3886700554692,-3.996750831604004,-7.615601062774657,100,98.1093650709714,-4.243274688720703,-8.192444801330566,100,96.96823803502849,-4.498242378234863,-7.963481903076173,100,94.67939366523369,-2.792572021484375,-5.671481132507324,-47.7024,-53.6401,100,99.7368850922553,-51.2355,-55.3487,100,98.39078394100108,-48.3954,-53.2178,100,99.2016794384798,-48.4275,-53.5187,100,99.38869643538365,-46.8152,-50.8421,100,98.24828071966003
41,41,Bock1992_5_ss_rc,ss_rc,The confession that involved the television preacher,is,are,100,98.73797099985241,-3.78041934967041,-8.140168190002441,100,98.38382891079495,-3.2039499282836914,-7.3127665519714355,100,99.00336082143507,-2.747616767883301,-7.346137046813965,100,97.03350494233145,-3.607099533081055,-7.0947747230529785,100,94.78258360716649,-3.2493104934692383,-6.1488938331604,-65.6877,-68.2225,100,92.65457050503593,-69.8899,-74.3447,100,98.8510889670175,-67.1145,-69.6589,100,92.71963996738886,-68.8513,-72.8695,100,98.23324470284788,-67.2596,-69.4179,100,89.64418372910046
42,42,Bock1992_5_sp_prop,sp_prop,The confession of the famous television preachers,is,are,100,85.03415956199638,-3.1694545745849614,-4.906737327575684,100,86.35809201223698,-3.588367462158203,-5.433723449707031,0,45.8985900199752,-4.834314346313477,-4.669888496398926,100,59.973286949860956,-5.383315086364746,-5.787667274475098,100,75.70565176740187,-3.3251132965087886,-4.461722373962402,-47.2534,-52.4111,100,99.42780088126851,-52.1004,-55.7113,100,97.36837515419244,-47.5686,-50.1661,100,93.07005104963235,-46.6515,-50.812,100,98.46398583712985,-46.1744,-49.192,100,95.33629325938338
43,43,Bock1992_5_sp_rc,sp_rc,The confession that involved the television preachers,is,are,100,67.77317298429915,-4.7557477951049805,-5.499114990234375,100,85.0594708475003,-3.821624755859375,-5.5608978271484375,100,92.23092217060127,-2.7664508819580083,-5.240594863891602,100,85.47162010350141,-3.8990087509155273,-5.671089172363281,0,49.56070123032092,-4.16605281829834,-4.148480415344238,-71.7293,-70.9766,0,32.02332691780925,-67.0099,-70.2589,100,96.26371624348458,-68.2942,-68.6101,100,57.832472705555325,-69.0524,-72.3332,100,96.37642321826583,-66.7333,-68.7061,100,87.79115429051541
